uuid,level,name,std1
04-d47df0a2353e25c2fbc220fe3d2036d1,4,ksched.h,98
04-d48072853a82be2b43d5af26d8276885,4,buf.c,574
04-d55ae100fc1c3ba47ae8f11e9d34e1c7,4,sys_clock_tick_get_32,8
04-d71e2d12ea7b9c3e19c5404fb18de838,4,mpsl,470
04-d75535b55f4ab90fed7711cc3708ae5b,4,z_abort_timeout,66
04-d907c9d36f2a2156a55611226b6b4d68,4,partition_manager,40
04-d9658a3d0d8ede1b3b91d30c2bec2167,4,z_thread_timeout,8
04-dc36a190b0ce5c56211e5f452111855a,4,z_impl_k_uptime_ticks,4
04-dca7e52442fccb724bb0d327c4ee8136,4,z_work_submit_to_queue,38
04-dec2282a0666f1569eac9bd53e2b0112,4,create_free_list,52
04-df41b298f622795471e32e78c9f91f69,4,k_heap_init,16
04-e08b9435c9ad567efdae78d56882179b,4,sys_timepoint_timeout,66
04-e0b3941813ba874794fc41a7a7aec561,4,sys_timepoint_calc,72
04-e0d2d571e8d380e0a7c6b55388181bb7,4,work_queue_main,332
04-e32a05dc146c73554e22d0061d9c22fd,4,gpio_nrfx.c,1104
04-e3350b9f16f165d8a75b9488ec0602e5,4,z_tick_sleep,128
04-e3c163aec0d7840e844dce4b70b4f5d4,4,unschedule_locked,30
04-e6e88dac372177ab9fbd271749f7bd54,4,k_heap_aligned_alloc,130
04-e88ebed5fffa955bcfeecf7f0334aa06,4,notify_queue_locked.isra.0,14
04-eb7132a54ef038cd0812c7965d5b805a,4,z_impl_k_busy_wait,8
04-ec2b50531efeab5dfd9b4a3d25eb3940,4,mbedtls,836
04-ec2f993aec2c27fc750119ab17b16cdb,4,idle,22
04-eca812b488ea306f1fae4556d0200b7d,4,z_impl_k_event_clear,8
04-ed69fffe82ca77cb0a39f7c9b3cba422,4,entropy_bt_hci.c,30
04-edc54b81cb227736a664814e287c03f1,4,z_impl_device_is_ready,22
04-ee29ab151cde8d2139d208fd01d07fcd,4,next_timeout,50
04-f435bb6a1b74a45d8f73be3535e4c68f,4,dragoon,11761
04-f64b58bdba3464610af243504e301de9,4,z_time_slice,96
04-f89b563782eb7a5be40358594f085113,4,z_bss_zero,24
04-f914b8dc7b21e77ee90a27de7e90bb83,4,z_sched_wake,70
04-f924938e7ce8a30fe1dcaca86ac7d47b,4,nrfx,6
04-f9e7d2dd44e659350d1e5da85e5d8a4d,4,k_event_wait_internal,130
04-fc14cfe6b075209c0d661d1246bfc7c6,4,k_work_schedule_for_queue,84
04-fc93b873c2b22baf2f7ed3960ca9e730,4,z_impl_k_timer_stop,56
04-fc93f5a27cc9ce9c2a996394aac31458,4,picolibc,58
04-fcd1f91b02738650f98bef95e769d3d2,4,adc_context.h,38
04-fd457fb0bd79aa304ba930c4974e78c7,4,z_impl_k_condvar_broadcast,108
04-fd756eb0b42e443ba55a4dd1f28e61a0,4,z_early_memset,4
04-fe69fd0a878b10d190c924b2398bad9c,4,drivers,176
04-fece8b0f6a4e8689a1167dba455e6e3e,4,z_impl_k_msgq_peek,50
05-007092d175f022e477e24f4e08922923,5,saadc_irq_handler,276
